Title,Author,Content,Publication Date,URL,Label
"Liberia: Man, 26, Arrested With Huge Ammunition in Ganta",Contributing Writer,"Ganta, Nimba County – The Joint Security Forces assigned in Ganta, Nimba County, have apprehended a 26-year-old man and his girlfriend with a significant cache of weaponry, including 98 rounds of AK-47 ammunition. The haul consisted of two magazines, each containing 39 rounds, along with 38 spare rounds, all reportedly smuggled from Guinea to Liberia.By Franklin Doloquee, Contributor, Nimba CountyThe suspect, identified as Richard Kollie, was traveling with his girlfriend when they were intercepted by authorities in Ganta and were destined for Kakata City. The reasons behind Kollie’s transportation of such a large amount of AK-47 ammunition from Guinea to Liberia have not yet been disclosed.Related Posts Full Text: Alexander Cummings’ 2023 Independence Day…  Jul 26, 2023 Liberia: LFA Appoints Ethiopian Selam Zeray on a Two-year…  Jul 26, 2023 Liberia: Armed Forces Operation Against Pirates Attack on a…  Jul 26, 2023 Upon their apprehension, the 26-year-old man and his girlfriend were handed over to the Criminal Investigation Division of the Liberia National Police for further investigation.According to reports gathered by FronPageAfrica’s Nimba County correspondent, it was revealed that Richard Kollie’s relative had served as military personnel in Guinea but recently passed away. This unfortunate event allegedly prompted the suspect to travel to Guinea to speak with family members. However, upon his return, he was found in possession of the ammunition.Richard Kollie, who formerly worked as a generator repairman in Ganta but has since moved to Boy Town around Kakata City, has informed the police during the investigation that he was carrying the 98 rounds of ammunition to Kakata City. Nevertheless, his true mission remains undisclosed to the media at this time.This recent arrest adds to the growing list of ten individuals apprehended by Joint Security Forces in Ganta. Six of these cases, however, have allegedly faced compromised investigations within the ranks of the assigned Joint Securities in Ganta, Nimba County. Authorities continue to look into the matter to ensure a thorough and impartial inquiry. ",03/07/2023,https://frontpageafricaonline.com/county-news/liberia-man-26-arrested-with-huge-ammunition-in-ganta/,1
"Liberia: Buu-Yao District Celebrates Road Dedication, Recommends Preferred Representative Candidate to President Weah",Contributing Writer,"BUU-YAO, Nimba County – The early day of the second week of June was not just the beginning of a new week in Buu-Yao district number four, Nimba county.It was a day of illumination that conveyed a new era of social and economic liberation in the life of the district. Sunday, June 10, 2023, saw the smiles of emancipation on the face of the mammoth gathering of Buu-Yao citizens, as approximately over 25kilometer of road was dedicated in the district.Chanting the “Bad road medicine,” the people of Buu-Yao district stated that prior to the dedication of the newly constructed 25km road, over many years, the district was lacking behind in many developmental activities due to the deplorable road condition the district was confronted with.The dedication of the paved road which saw a moment of joyous celebration of the district, is the extension of the president “Bad road pavement” and was initiated through the group “Nimba for Weah” a movement that is bent on ensuring the re-election of president Weah.In appreciation, Joe Luanupea, on behalf of the residents asserted that the road paved by PresidentWeah serves as a complete emancipation of the district, thereby bringing to life the district social and economic potential.“With the pavement of this road, we can now flourish in all of our activities as a district. Our markets that used to be destroyed because we couldn’t transport them to the market can now be taken to the market. It brings economic and social boost to our district,” Joe Luanupea said.He lauded the president for the development of the district through road connectivity, stating that the gesture of the president is a complete revival of the district and its people.He added that the president development initiative to the district will not go un-rewarded on October 20, 2023; therefore, pledged the support of the district to ensure the re-election bit of president Weah becomes a success.Related Posts Liberia: Minister Sonii Extols Bea Mountain for Constructing…  Jul 22, 2023 Liberia: Man, 26, Arrested With Huge Ammunition in Ganta  Jul 3, 2023 Liberia: CDC Nominates U.S. Sanctioned Nathaniel McGill as…  Jun 30, 2023 Meanwhile, Mr. Luanupea urged the president to continue the road pavement in the district by rehabilitating damaged bridges in district.“While we welcome wholeheartedly the road pavement, we want to president to also help with the rehabilitation of the bridges along the road.These bridges are at the point of collapse. If these bridges collapsed, we will end up facing the same problem we had with road. So, we are begging you Mr. president to please fix our bridges,” Luanupea, on behalf of the district pleaded.At the same time, they pleaded with the president to endorse the representative bid of Mr. Peter Weatoe on the ruling CDC ticket.The resident said Peter Weatoe has been instrumental to the upkeep and development of the district by aiding the district in many ways.Mr. Weatoe, who during the dedication donated three motorcycles to the district, was recommended to the president as the best suited candidate for to run on the CDC ticket come October 10, 2023.The recounted that the health and social welfare of the district have always been promoted by Mr. Weatoe who is a resident of the district.Speaking at the dedication ceremony, the chairperson of the groupNimbaforWeah, Mr. Shedrack Thomas Dokie revealed that the road project is an initiative of the president’s pro-poor agenda to ensure that every part of the country is connected irrespective of whatever negative historical impact.Chairman Dokie lauded Buu-Yao district for their appreciation of the president gesture, and promised to onward convay their message to the president.Concluded by urging them to ensure their promise of having the president re-elected is a reality.Asserting that by doing so, there are many untold developments the district stands to benefit. ",15/06/2023,https://frontpageafricaonline.com/county-news/liberia-buu-yao-district-celebrates-road-dedication-recommends-preferred-representative-candidate-to-president-weah/,1
Liberia: Minister Sonii Extols Bea Mountain for Constructing TVET School in Kinjor,Contributing Writer,"KINJOR, Grand Cape Mount – The Minister of Education Prof. Ansu Dao Sonii has extolled the Management of Bea Mountain Mining Corporation (BMMC) for the construction of a modern Technical Vocational Education Training (TVET) School in Kinjor, Grand Cape Mount County.Speaking to journalists on Friday shortly after a day-long tour of the school’s facility, Prof. Sonii commended the company for the construction of what he describes as “an elaborate school facility” as expected by the Ministry of Education. The Daniel F. Tolbert Academy and Vocational Institute that is expected to start normal academy activities in September this year was exclusively built by BMMC. The TVET School when opened will be run and managed by the Government of Liberia with support from the company.“We want to thank Bea Mountain for these facilities. This a good partnership, and this is not a company’s school. It is a government school provided by the company for the people to be administered by the Government. So, whatever they do for us going forward is a compliment. They are going help us maintain it, but those that should be responsible to maintain it first are us, the citizens, our Board, our PTA and our students, Minister Sonii asserted”.Related Posts Carver Christian University 2023 Graduates Urged to Use…  Jul 24, 2023 Liberia: LEC, EJS Presidential Center Chat Ways on…  Jul 14, 2023 Call for Help: SWEEP Liberia Academy Seeks Urgent Financial…  Jul 5, 2023 Minister Sonii further encouraged citizens of Grand Cape Mount County to take full ownership of the TVET School constructed by BMMC.“The attitude that this is Government property, we have to get away from that because government does not sit in these classrooms. It’s the children of the people that come from this place that come to school here”.He used the occasion to call on residents of Kinjor and Cape Mount at large to help maintain the school facility.“When you appreciate gifts, you use them well. It encourages those that gave you the gifts to want to give you more. If you are reckless with gifts then you don’t deserve some, because nobody wants to take their money and throw it in the hole and they get no return.As much as Bea Mountain has a general responsibility to do these, we also have a responsibility to make sure that when they come back, they are proud that have given us this and we have maintained it, then they can say alright let’s add this, let’s add that.” ",22/07/2023,https://frontpageafricaonline.com/county-news/liberia-minister-sonii-extols-bea-mountain-for-constructing-tvet-school-in-kinjor/,1
Liberia: CDC Nominates U.S. Sanctioned Nathaniel McGill as Senatorial Candidate for Margibi County,Contributing Writer,"Margibi County — Former Minister of State for Presidential Affairs, Nathaniel F. McGill, who has been sanctioned by the United States Treasury Department for public corruption, has been nominated by the Coalition for Democratic Change (CDC) to run as the senatorial candidate for Margibi County in the upcoming October 10 polls.Report by Yawah Jaivey, Contributor, Margibi County Mr. McGill emerged as the sole candidate after being elected unopposed by delegates during the party’s primary held in Margibi. The primary aimed to select representative and senatorial candidates for the CDC in the October 10 Legislative and Presidential Elections across the five districts of Margibi County.Related Posts Full Text: Alexander Cummings’ 2023 Independence Day…  Jul 26, 2023 Liberia: LFA Appoints Ethiopian Selam Zeray on a Two-year…  Jul 26, 2023 Liberia: Armed Forces Operation Against Pirates Attack on a…  Jul 26, 2023 In September, Mr. McGill, along with two other high-ranking officials of President Weah’s government, resigned following public pressure in response to the sanctions imposed by the United States. Despite widespread public outcry and condemnation from prominent figures and institutions within the county, Mr. McGill’s supporters from across Margibi petitioned him to run for the county’s senatorial seat.CDC Margibi’s Chairman Daddy Gibson Casting White Ballot On behalf of Delegates for Nathaniel F. McGillDespite the controversy surrounding his candidacy, the CDC chose to nominate Mr. McGill on its ticket. Initial reports suggested that some party officials were hesitant to accept his nomination; however, it was later confirmed that his nomination had been accepted.During the primary, Mr. Daddy Gibson, Chairman of the Margibi branch of the Coalition for Democratic Change, cast a white ballot on behalf of the delegates, effectively making Mr. Nathaniel F. McGill the only candidate representing the party in the senatorial race. ",30/06/2023,https://frontpageafricaonline.com/politics/liberia-cdc-nominates-u-s-sanctioned-minister-mcgill-as-senatorial-candidate-for-margibi-county%ef%bf%bc/,1
"Liberia: Buu-Yao District Celebrates Road Dedication, Recommends Preferred Representative Candidate to President Weah",Contributing Writer,"BUU-YAO, Nimba County – The early day of the second week of June was not just the beginning of a new week in Buu-Yao district number four, Nimba county.It was a day of illumination that conveyed a new era of social and economic liberation in the life of the district. Sunday, June 10, 2023, saw the smiles of emancipation on the face of the mammoth gathering of Buu-Yao citizens, as approximately over 25kilometer of road was dedicated in the district.Chanting the “Bad road medicine,” the people of Buu-Yao district stated that prior to the dedication of the newly constructed 25km road, over many years, the district was lacking behind in many developmental activities due to the deplorable road condition the district was confronted with.The dedication of the paved road which saw a moment of joyous celebration of the district, is the extension of the president “Bad road pavement” and was initiated through the group “Nimba for Weah” a movement that is bent on ensuring the re-election of president Weah.In appreciation, Joe Luanupea, on behalf of the residents asserted that the road paved by PresidentWeah serves as a complete emancipation of the district, thereby bringing to life the district social and economic potential.“With the pavement of this road, we can now flourish in all of our activities as a district. Our markets that used to be destroyed because we couldn’t transport them to the market can now be taken to the market. It brings economic and social boost to our district,” Joe Luanupea said.He lauded the president for the development of the district through road connectivity, stating that the gesture of the president is a complete revival of the district and its people.He added that the president development initiative to the district will not go un-rewarded on October 20, 2023; therefore, pledged the support of the district to ensure the re-election bit of president Weah becomes a success.Related Posts Liberia: Minister Sonii Extols Bea Mountain for Constructing…  Jul 22, 2023 Liberia: Man, 26, Arrested With Huge Ammunition in Ganta  Jul 3, 2023 Liberia: CDC Nominates U.S. Sanctioned Nathaniel McGill as…  Jun 30, 2023 Meanwhile, Mr. Luanupea urged the president to continue the road pavement in the district by rehabilitating damaged bridges in district.“While we welcome wholeheartedly the road pavement, we want to president to also help with the rehabilitation of the bridges along the road.These bridges are at the point of collapse. If these bridges collapsed, we will end up facing the same problem we had with road. So, we are begging you Mr. president to please fix our bridges,” Luanupea, on behalf of the district pleaded.At the same time, they pleaded with the president to endorse the representative bid of Mr. Peter Weatoe on the ruling CDC ticket.The resident said Peter Weatoe has been instrumental to the upkeep and development of the district by aiding the district in many ways.Mr. Weatoe, who during the dedication donated three motorcycles to the district, was recommended to the president as the best suited candidate for to run on the CDC ticket come October 10, 2023.The recounted that the health and social welfare of the district have always been promoted by Mr. Weatoe who is a resident of the district.Speaking at the dedication ceremony, the chairperson of the groupNimbaforWeah, Mr. Shedrack Thomas Dokie revealed that the road project is an initiative of the president’s pro-poor agenda to ensure that every part of the country is connected irrespective of whatever negative historical impact.Chairman Dokie lauded Buu-Yao district for their appreciation of the president gesture, and promised to onward convay their message to the president.Concluded by urging them to ensure their promise of having the president re-elected is a reality.Asserting that by doing so, there are many untold developments the district stands to benefit. ",15/06/2023,https://frontpageafricaonline.com/county-news/liberia-buu-yao-district-celebrates-road-dedication-recommends-preferred-representative-candidate-to-president-weah/,1
Liberia: Bea Mountain Management Identifies with Bereaved Family of Fallen Worker,Contributing Writer,"KINJOR, Grand Cape Mount County – The Management of Bea Mountain Mining Corporation (BMMC) under the astute leadership of its General Manager, Reza Karimiyan has assured family members of the late Abdulai Kamara that it will continue to stand beside them during and after the entire bereavement process.It can be recalled that the late Abdulai Kamara who worked with the transport department of the company as a truck driver died on Saturday morning, June 3, after he accidentally ran off the ascending ramp and tumbled into the open pit in Kinjor. Speaking on Friday, June 9, during the 3rd and 7th Day Sacrifice of the late Abdulai Kamara which was held in Kinjor, Grand Cape Mount County, the BMMC Management also informed the family that all death benefits for the late employee will be settled adequately in accordance with the company’s policy.The BMMC Management was represented by its General Manager Reza Karimiyan, Administrative Manager Alpaslan Ozbilze, Human Resource Manager Oliver Gipli, Human Resource Superintendent Thompson Darblo, and its Community Relations Department headed by Mrs. Aminata Kamara.Related Posts Liberia: Minister Sonii Extols Bea Mountain for Constructing…  Jul 22, 2023 Liberia: Man, 26, Arrested With Huge Ammunition in Ganta  Jul 3, 2023 Liberia: CDC Nominates U.S. Sanctioned Nathaniel McGill as…  Jun 30, 2023 Meanwhile, family members of the late Abdulai Kamara who came from Sierra Leone and other parts of Liberia thanked the Management of Bea Mountain Mining Corporation for the level of love and concerns shown them since the demise of their son, who was also a committed and hard-working employee of their company.GM Reza Karimiyan during the 3rd and 7th Day Sacrifice of the late Abdulai KamaraSpeaking further, the wife of the deceased Famatta Kamara stressed that BMMC actions during the homegoing and Islamic rites of her late husband proved that the company and working environment were home for the late Abdulai Kamara.At the event, however, BMMC Management, family members, and Sympathizers observed the conspicuous absence of the Workers Union throughout arrangements leading to the burial; including the 3rd and 7th Day Sacrifice.As the Management continues to mourn the loss of its former employee along with the deceased family, it is important to note that he will really be missed for his level of dedication to duty and his kind words to his fellow men.May his soul and those of the faithful departed through the mercy of the almighty Allah rest in perfect peace and light perpetual shineuponthem. ",13/06/2023,https://frontpageafricaonline.com/county-news/liberia-bea-mountain-management-identifies-with-bereaved-family-of-fallen-worker/,1
Physically Challenged Group in Bomi Lauds Western Cluster Liberia after Benefiting US$10k from Company,Contributing Writer,"TUBMANBURG, Bomi County – A group of physically challenged people in Bomi County, through their caretaker, Stephen Cole, have lauded Western Cluster Limited (WCL) for a kind donation to the group.The group recently received US$10,000 as their share of the US$5 million disbursed to Bomi County by WLC as part of its corporate social responsibilities enshrined in the Mineral Development Agreement (MDA). Some of the beneficiaries are Bomi University College and Bomi County Health Team, among others.“We are very impressed with the donation made to us by Western Cluster Limited because this came to us when we really needed help from people,” Cole said.“We are happy for this first donation to our people who cannot see, but we are at the same time calling on Western Cluster Limited to please do more because we are taking care of a group of people who cannot move by themselves unless someone carries [leads] them.“If you people don’t help us, how can we cater to them, and then, we don’t know who will do it for them.”The issue of caring for physically challenged individuals and persons with disabilities in Liberia continued to be a serious challenge facing the government of Liberia and others.Related Posts Liberia: Minister Sonii Extols Bea Mountain for Constructing…  Jul 22, 2023 Liberia: Man, 26, Arrested With Huge Ammunition in Ganta  Jul 3, 2023 Liberia: CDC Nominates U.S. Sanctioned Nathaniel McGill as…  Jun 30, 2023 Like other counties in Liberia, Bomi County is said to have the highest number of blind people in the country, according to some statistics.The physically challenged and persons with disabilities are most of the time unattended to. With no support they tend to begging for alms at street corners and other places.The allotment to the group will go a long way in addressing some of the immediate and pressing needs.Western Cluster Limited (WCL), a subsidiary of Sesa Goa, a Vedanta group company engaged in iron ore mining in Western Liberia, started operations in 2011 but closed due to the Ebola outbreak. It returned last year with a commitment to upholding its agreement, and at the same time empowering local communities.Upon its return, the company reiterated its commitment to contribute to socio-economic development through road rehabilitation, as well as other positive initiatives.Earlier this year,the company, as a part of its community development initiative, constructed two key bridges atthe Klay Junction and GuieTown in Bomi.Construction of these bridges has improvement road safety and transport infrastructure for the communities in Bomi, Gbarpolu and Grand Cape Mount counties.Several residents and district officials expressed WCL for the initiative as the bridges are supporting free flow of the traffic onthe Tubmanburg – Freeport highway. ",01/06/2023,https://frontpageafricaonline.com/county-news/physically-challenged-group-in-bomi-lauds-western-cluster-liberia-after-benefiting-us10k-from-company/,1
Liberia: Gbehzohngar Findley Endorses Cummings-Brumskine Ticket,Gerald C. Koinyeneh,"MONROVIA — Former Foreign Minister Gbehzohngar Milton Findley has pledged his support to the election of Alexander B. Cummings and his running mate Cllr. Charlyne Brumskine ahead of the October polls.Related Posts Full Text: Alexander Cummings’ 2023 Independence Day…  Jul 26, 2023 Liberia: LFA Appoints Ethiopian Selam Zeray on a Two-year…  Jul 26, 2023 Liberia: Armed Forces Operation Against Pirates Attack on a…  Jul 26, 2023Mr. Findley, former Senator of Grand Bassa County and former President Pro Tempore of the Liberian Senate made the endorsement on Saturday at the ceremony marking the announcement of Cllr. Brumskine as running mate of Cummings in the Port City if Buchanan, Grand Bassa County. He said the Cummings-Brumskine ticket is the best to fix Liberia and called on the people of Grand Bassa to join him in his support.Observers say Findley’s support to Cummings and the CPP is a big snub to President George Weah and his ruling Coalition for Democratic Change (CDC) under whose administration Findley served as Minister of Foreign Affairs until his resignation in 2020 to contest in the Grand Bassa Senatorial by election, eventually losing to incumbent Senator Nyonblee Karngar Lawrence. ",28/05/2023,https://frontpageafricaonline.com/politics/liberia-gbehzohngar-findley-endorses-cummings-brumskine-ticket/,1
Liberia: CPP Lights Up Bassa as Cummings Set to Handpick Charlyne Brunmskine As Running Mate Today,Gerald C. Koinyeneh,"BUCHANAN, Grand Bassa County – The Port City of Buchanan has been inundated with portraits of Mr. Alexander Benedict Cummings and Cllr. Charlyne M. Brumskine ahead of her (Cllr. Brumskine) official pronouncement by Cummings as his running mate.A large banner depicting the two officials at the Fair Ground in Buchanan, the venue of the program read: “CPP USA Chapter Supports Alexander – Cummings Fixer 1 and Charlyne M. Brumskine Fixer 2.”Related Posts Full Text: Alexander Cummings’ 2023 Independence Day…  Jul 26, 2023 Liberia: LFA Appoints Ethiopian Selam Zeray on a Two-year…  Jul 26, 2023 Liberia: Armed Forces Operation Against Pirates Attack on a…  Jul 26, 2023 Thousands of partisans of the Collaborating Political Parties (CPP) which is now comprised of the Alternative National Congress (ANC) and the Liberty Party (LP) are currently trouping in Buchanan to witness the ceremony, CPP officials say will marked the turning point in their quest to the take the nation’s two highest seats at the polls in October later this year.The event today followed Mr. Cummings’ overwhelmingly election as CPP standard bearer at the party’s National convention in Ganta, Nimba County a fortnight ago.At the convention delegates adopted a motion calling on the standard bearer to name his running at the person’s to be named home county.Currently, elders and supporters are now heading to the St. John River to o receive Mr. Cummings and the CPP delegation. ",28/05/2023,https://frontpageafricaonline.com/politics/liberia-cpp-lights-up-bassa-as-cummings-set-to-handpick-charlyne-brunmskine-as-running-mate-today/,1
Liberia: Elders in Nimba Endorse Weah Second Terms; Assure Him of One-Round Victory,FPA Staff Reporter,"GANTA – The elders, traditional leaders and stakeholders of Nimba County in a jubilate and overwhelming joy stormed the streets of Saclepea City, Nimba County with a resolution endorsing President George Manneh Weah for his second presidential bid setting the stage for the dream of the ruling Coalition for Democratic Change to earn one round victory for the presidency comes October 10, 2023.The streets of Saclepea City including every corner of the city were place of jubilation and celebrations as elders, chiefs, traditional leaders, town chiefs, clan chiefs, paramount chiefs, zoes, superintendents, influential leaders and residents of the city gathered in full preparations for the endorsement of President George Manneh Weah through a resolution. A resolution signed by over 40 elders and local leaders of the county indicates, “we have physically seen and witnessed during the first term of the CDC led government many tangibles among which are massive road construction across the county, peaceful co-existence among Liberians and the provision of free education which is now enabling our future leaders to learn more and better all over the country;Cognizant, that we Liberians stand to benefit more and more development packages from this government should we give it our second mandate and looking at the numerous development projects below undertaken by the George Weah administration, such as making tuition free at our Nimba University, the 54 projects across the county sponsored by the County Development Funds under the CDC led government,” the resolution .Related Posts Full Text: Alexander Cummings’ 2023 Independence Day…  Jul 26, 2023 Liberia: “Our democracy is under threat” – Alexander…  Jul 25, 2023 Liberia: Minister Sonii Extols Bea Mountain for Constructing…  Jul 22, 2023 The resolution signed by Chief Philip Tokpah of Gbapa, Samuel M. Yealu of Karnplay, Zephaniah Gbaa of Buutuo, Lombaye Barleah of Tappita, Arthur Sahn of Saclepea City and David Jacobs of Zekepa among others said, the construction of Ganta-Saclepea road contracted by CICO under the CDC government which is going,the construction of Saclepea-Tappita road by China Railway Seven Group is ongoing, the construction of Ganta-Sanniquellie road by CSE which is nearing completion, the construction of Sehkimpa-Loguatuo Road project 947.1km) by China Railway Seven Group (CRSG) on ongoing. They also named the free WAEC fees for 3rd, 6th, 9th, and, 12thgraders, the construction of Bahn-Buutuo road by the Weah’s government, contracted by Agrie, is ongoing, the construction of Gbor-Korsin-Sanniquellie road by the Weah’s government, and the construction of road from Sehkimpa to Yekepa to commence soon, the construction of road from Saniquellie main street to the hospital G. W Harley hospital by CSE is ongoing, the construction of road from Sanniuellie main street to the administrative building by CSE is ongoing.“The construction of 75 bedroom house by president for our female Zoes and sisters who are training in Gbanquoi. The hosuing unit in Pawpaw Village, Ganta-Gbarnga Highway by the Weah’s government.The provision of solar lights to Sanniquellie, Ganta and Bahn cities,the construction of Bahn High school by the president and the construction of 20 bedroom clinic in Dorbor Town, Gbi Doru District, among others. Now, there, we the above mentioned council of local authorities of Nimba County have in this public manner come to tell to His Excellency, Dr. George Manneh Weah, President of the Republic of Liberia that we are with him and will support his 2ndterm bid comes October 10, 2023, the group said in their resolution. ",17/05/2023,https://frontpageafricaonline.com/politics/liberia-elders-in-nimba-endorse-weah-second-terms-assure-him-of-one-round-victory/,1
