content,date,label,title,url
"Ghana currently has no active cases of the Marburg Virus Disease (MVD) after the country declared its first-ever outbreak more than a month ago on July 4. According to the  , one of the three cases recorded has successfully recovered while the two others died. “The only survivor of the three (3) has since recovered from the disease following two negative tests carried out 48hours apart on the 3  and 6  of august 2022, respectively, by the Noguchi Memorial Institute for Medical Research (NMIMR). The patient has since been discharged and reunited with her family. Ghana, therefore, has no case of MVD,” the statement said. In line with World Health Organization (WHO) guidelines, this outbreak will be declared 42 days after the last negative test if there are no new cases.    confirmed the first two cases of the Marburg Virus Disease on July 4, 2022, after two persons met case identification for Acute Haemorrhagic Fever in two locations in the Ashanti Region. These samples were further confirmed following tests by the Institute Pasteur in Dakar, Senegal, with support from the World Health Organization. The Ghana Health Service said 198 contacts were identified in four districts – Adansi North and South, Prestea Huni Valley, and Sawla-Tuna-Kalba – following the outbreak. Meanwhile, 118 of them have completed the 21 days of mandatory follow-up and were discharged, with the remaining contacts having no    “Marburg virus disease is a highly virulent disease that causes haemorrhagic fever, with a fatality ratio of up to 88%. It is in the same family as the virus that causes Ebola virus disease,” the World Health Organization (WHO) has said. The human infection with Marburg virus disease initially results from prolonged exposure to mines or caves inhabited by Rousettus bat colonies and has a 2 to 21 days incubation period. Marburg can spread through human-to-human transmission via direct contact. The Ghana Health Service has encouraged the public to continue to observe preventive measures and report any illness to the nearest health facility for medical attention.     © 2022 All rights reserved","August 29, 2022",False,Marburg Virus Disease Update: No active case of virus in Ghana,https://ghanafact.com/2022/08/marburg-virus-disease-update-no-active-case-of-virus-in-ghana/
"Ghanaian migrants in Germany jump from a moving bus to escape deportation Viral claim A   showing a group of men jumping through a broken window of a moving bus and dashing across a road is being portrayed online as showing some Ghanaian migrants in Germany escaping deportation. The video has been shared across social media platforms including  ,  ,   and  . “Ghanaians in Germany jumping from the bus which was transporting them to (the) airport for deportation,” was how some social media users described the video online. Other social media users posted the video and captioned it: “Footage showing an alleged scene of some Africans in Germany jumping from a bus which was transporting them to the airport for deportation.” The video has garnered over 22 million views on Facebook and 630,000 views on Twitter. This fact-check report seeks to verify:   To fact-check this claim, FactSpace first observed the environment where the video was captured and identified a   with a yellow licence plate. The team compared the licence plate captured in the video with some   online and found some inconsistencies ( . Subsequently, an email was sent to Kraftfahrt-Bundesamt, the agency responsible for vehicular transport registration in Germany. In response to our email,  Kraftfahrt-Bundesamt shared   indicating all German licence plates have a white background with black lettering and that the car in the viral video is not from Germany. Our research later showed the number plate had some similarities with registered number plates in Algeria, a North African country. FactSpace reached out to  , an independent fact-checking organization in Algeria to help in assessing the viral video and another version of the  filmed from a different angle was found on YouTube. According to  , a review of the video showed:   AADL is the Algerian National Agency for Housing Improvement and Development and is undertaking a rent purchase housing project to produce more than  for Algerian citizens. Therefore, the viral video was not captured in Germany as being portrayed online. Furthermore, there is no evidence to prove that the people seen in the video are Ghanaians.   So, the claim that the viral video shows Ghanaian migrants in Germany escaping deportation is  © 2022 All rights reserved","August 9, 2023",False,FACT-CHECK: Viral video shows Ghanaian migrants in Germany escaping deportation,https://ghanafact.com/2023/08/fact-check-viral-video-shows-ghanaian-migrants-in-germany-escaping-deportation/
"Yellow fever is a viral disease transmitted to humans by the bites of infected mosquitoes. Twenty-nine countries in Africa including   have been classified as countries at risk of Yellow fever transmission by the US Centers for Disease Control and Prevention. “Yellow fever is a high-impact high-threat disease, with risk of international spread, which represents a potential threat to global health security,” the World Health Organization has said. From 1 January 2021 to 26 August 2022, a total of 12 countries in the region have reported 184 confirmed cases and 274 probable cases, including 21 deaths, reflecting ongoing complex viral transmission.   Yellow fever is caused by an arbovirus (a virus transmitted by vectors such as mosquitoes, ticks, or other arthropods) transmitted to humans by the bites of infected Aedes and Haemagogus mosquitoes. “The Aedes species are the same mosquito that spreads the Zika, Chikungunya, and Dengue viruses while the Haemogogus mosquitoes also spread yellow fever and are mostly found in the jungle.” There are three modes of transmission of the yellow fever virus.       , especially during the early stage, and has a 3 – 6 days incubation period with a wide range of symptoms and severity; Many people do not experience symptoms, but when symptoms do occur, the most common are fever, muscle pain with prominent backache, headache, loss of appetite, and nausea or vomiting. In most cases, symptoms disappear after 3–4 days. “A small percentage of patients enter a second, more toxic phase within 24 hours of recovering from initial symptoms. High fever returns and several body systems are affected, usually the liver and kidneys,” the WHO highlighted. In this phase, people are likely to develop jaundice (yellowing of the skin and eyes, hence the name yellow fever), dark urine, and abdominal pain with vomiting. Bleeding can occur from the mouth, nose, eyes, or stomach. Half of these patients die within 7–10 days. “ measure for preventing yellow fever,” the WHO has said. There is currently no specific anti-viral drug for yellow fever but specific care to treat dehydration, fever, and liver and kidney failure improves outcomes.   Yellow Fever is endemic in   and is associated with severe disease in approximately 15% of cases and a high Case Fatality Ratio (CFR). Between October 15 to November 27, 2021, 202 suspected cases of Yellow Fever (YF) including 70 confirmed cases, and 35 deaths have been reported in four regions in Ghana – Savannah, Upper West, Bono and Oti regions. “Although there is high overall population immunity against YF in Ghana (88% in 2020 according to WHO-UNICEF estimates), pockets of the population, including unvaccinated nomadic people, remain at risk for YF which could result in continued YF transmission,” the WHO highlighted.       © 2022 All rights reserved","September 5, 2022",False,FACTSHEET: Key facts about Yellow Fever transmission in Ghana,https://ghanafact.com/2022/09/factsheet-key-facts-about-yellow-fever-transmission-in-ghana/
"Ghana has confirmed 84 cases of Monkeypox and 4 deaths, more than 3 months after the country recorded its  . After testing 535 suspected cases across 12 regions as of September 6, 2022, the Greater Accra region recorded the highest number of confirmed cases (51). The  i has disclosed that the 4 deaths recorded were from three regions of the country: the Upper East region – 2, Greater Accra – 1, and Central Region – 1. At a   on – “Emerging viral infections and diseases: focus on the monkeypox virus” – organized in collaboration with the Society for AIDS in Africa (SAA), World Health Organization, and the Ghana Health Service, he stated that the disease is spreading across 38 districts and the national fatality rate stands at 4.8%.   On June 8, 2022, Ghana confirmed 5 cases of Monkeypox virus in three regions – Western, Eastern, and Greater Accra. “We have tested 12 suspected cases in Ghana since the 24th of May. Currently, we have confirmed 5 cases in three regions –Eastern, Western, and Greater Accra. No death has occurred among the cases,” the Director-General of the Ghana Health Service, Dr. Patrick Kuma-Aboagye  .   Monkeypox is caused by the  , which is a viral zoonotic disease that can spread from animals to humans and from one person to the other through close contact with an infected person. Various animal species have been identified as susceptible to the monkeypox virus. This includes rope squirrels, tree squirrels, Gambian pouched rats, dormice, non-human primates, and other species. Human monkeypox was first identified in humans in 1970 in the Democratic Republic of the Congo in a 9-month-old boy in a region where smallpox had been eliminated in 1968. The   (interval from infection to onset of symptoms) of monkeypox is usually from 6 to 13 days but can range from 5 to 21 days.   © 2022 All rights reserved","September 16, 2022",False,MonkeyPox disease: Ghana records 84 confirmed cases and four deaths,https://ghanafact.com/2022/09/monkeypox-disease-ghana-records-84-confirmed-cases-and-four-deaths/
"The Ghana Health Service (GHS) is rolling out , starting October 6 to October 9, 2022, in line with the World Health Organization’s resolution toward polio eradication. The exercise targets children below age 5 across the 16 regions of the country and is expected to increase population immunity against the Type 2 Poliovirus and break the transmission of the disease. “This follows the confirmation of circulating vaccine-derived poliovirus type 2 (cVDPV2) in the country from two acute flaccid paralyses (AFP) cases; one each from North Gonja District in Savanna Region and West Mamprusi in North East Region,” the  . The first round of the vaccination exercise happened between  , and Over six million children across the country are expected to receive the novel Oral Polio Vaccine Type 2 (nOPV2) at the end of both exercises. , is a crippling disease resulting from infection with any of the three related poliovirus types – P1, P2, and P3, mainly affecting    According to  , between July 2019 and August 2020, a total of 31 children were paralysed in Ghana due to polio. With the help of health professionals and trained volunteers, the   initiated a vaccination programme and successfully inoculated more than 4.6 million children. The exercise was conducted in eight regions including the Ashanti, Central, Eastern, Greater Accra, Volta, Upper West, Western, and Western North regions.   The action of the   is two-pronged. Until recently, most countries have used the oral polio vaccine.         With no cure, “the polio vaccine, given multiple times, can protect a child for life. More than 18 million people are able to walk today who would otherwise have been paralysed, since 1988, when the Global Polio Eradication Initiative was launched,” the World Health Organization noted.   © 2022 All rights reserved","October 5, 2022",False,Polio: GHS launches vaccination exercise,https://ghanafact.com/2022/10/polio-ghs-launches-vaccination-exercise/
" Natural immunity is much better than vaccine immunity Viral message A viral WhatsApp message claims the World Health Organization (WHO) and other health agencies have announced that “natural immunity is much better than vaccine immunity,” as the world continues to fight the coronavirus pandemic. the WhatsApp message further said. The Centers for Disease Control (CDC), Israel, and other European countries including the UK, Scotland, and the Czech Republic were also named to have come to a similar conclusion.   , the Director-General of the WHO, Tedros Adhanom Ghebreyesus, conveyed the tenth meeting of the International Health Regulations (2005) Emergency Committee regarding the COVID-19 pandemic. The meeting highlighted the challenges posed by the high transmission levels of the Omicron variant of concern (VOC) and the corresponding burden on public health systems and health service delivery. Nowhere during the video conference and in the statement that was subsequently published by the WHO was it stated that  as has been shared in the viral WhatsApp message. Contrary to claims made in the viral WhatsApp message that vaccines damage a recipient’s immune system, the WHO recommends that  Like all vaccines, COVID-19 vaccines have gone through  , including large clinical trials that involve tens of thousands of people. These trials are specifically designed to identify any safety concerns. Meanwhile, a study by the US CDC has also concluded that   which is in sharp contrast to the claim made in the viral message. The viral message also referred to ‘points 6 and 7’ of the   as evidence to support the claims being made. However, points 6 and 7 of the WHO temporary recommendations only seek to modify COVID-19 restrictions imposed from the onset of the pandemic.     It has been observed that different versions of the same viral message have been shared in South Africa, with our team having been alerted via the WHO Africa Infodemic Response Alliance (WHO/AIRA).   The claim that “natural immunity is much better than vaccine immunity” is rated FALSE.   © 2022 All rights reserved","October 17, 2022",False,FALSE: Viral message claims WHO has announced that natural immunity is much better than vaccine immunity,https://ghanafact.com/2022/10/false-viral-message-claims-who-has-announced-that-natural-immunity-is-much-better-than-vaccine-immunity/
" Pfizer CEO announces plan to reduce the world’s population by 50%  Viral video Has the Chief Executive Officer of Pfizer, Albert Bourla announced plans to reduce the population of the world by 50% in 2023? A 30-second long video footage shared by a  , on May 28, 2022, supposedly shows Albert Bourla making the claim and the clip is now being cross-published on Facebook and WhatsApp. “The first week we met, in January of ‘19, in California to set up the goals for the next five years, and one of them was, by 2023, we will reduce the number of people in the world by 50%. I think today the dream is becoming a reality,” Albert Bourla can be heard saying in the viral video.   Checks by GhanaFact show that Albert Bourla did not make those remarks. But rather the video has been deceptively altered and his words are being misrepresented. After listening to the full 33 minutes and 15 seconds long World Economic Forum conversation that hosted the CEO of Pfizer, at no point did he make those claims. Between minutes 1: 56 – 3: 00 of the full video available on the  , Albert Bourla is heard highlighting the ambition of the company to make medicine affordable to 50% of the world’s population. “ I think it’s really fulfilling of a dream that we had together, with my leadership team, when we started in ‘19. I think today this dream is becoming a reality,” he partly said in the World Economic Forum summit conversation on May 25, 2022, in Davos, Switzerland The short viral video clip seems to have been cut out of the full video and presented in a misleading context.   The claim that the CEO of Pfizer has announced plans to reduce the world’s population by 50% in 2023 is   and the video is          © 2022 All rights reserved","March 23, 2023",False,FACT-CHECK: Pfizer CEO has not announced plans to reduce the world’s population by 50%,https://ghanafact.com/2023/03/fact-check-pfizer-ceo-has-not-announced-plans-to-reduce-the-worlds-population-by-50/
"Two million women in low-resource communities have an obstetric fistula (OBF) – a neglected public health issue that results in leaking urine and/or faeces – and 100,000 more develop one every year, according to the United Nations. The   is observed every year on   to   and  —especially midwives—to all women. Under the theme, “ , UNFPA is leading the   in more than 55 countries on prevention, treatment and rehabilitation efforts. Meanwhile, in Ghana, the magnitude of the OBF is unknown, according to  .   An   is a hole between the woman’s birth canal and bladder or rectum resulting from prolonged labour without medical help, leading to an uncontrollable leaking of urine, faeces, or even both. , the international community called for obstetric fistula to be eliminated within a decade, aligning with the 2030 Agenda for Sustainable Development and its 17 global goals.       Knowing that one is suffering from Obstetric fistula often comes with the following symptoms.         “To end fistula, we need to make sure that all women and girls have timely access to trained midwives and high-quality obstetric care,”  ,  .    of Obstetric fistula is divided into three categories: Primary, Secondary, and Tertiary prevention.   The primary curative treatment remains corrective surgery; however, due to a global shortage of fistula surgeons, current treatment rates indicate that  Obstetric fistula can often be surgically repaired through a procedure called fistula repair. Since 2003, the   has assisted with more than 121,000 significant repairs.   © 2022 All rights reserved","May 24, 2023",False,Two million women suffering with fistula across the globe,https://ghanafact.com/2023/05/two-million-women-suffering-with-fistula-across-the-globe/
"The Ghana Health Service has confirmed the outbreak of a zoonotic disease, Anthrax in two communities in the Upper East region. So for the next month, there will be a ban on the sale, slaughtering and consumption of cattle, sheep, goats and dogs across some 5 districts and a municipality in the Eastern corridor of the region to curb the spread of the disease. According to the Regional Co-ordinating Council (RCC), there is a further ban on the movement of small ruminants (sheep, goats and pigs), cattle and dogs from the affected areas – Bawku Municipality, Bawku West, Pusiga, Garu, Tampane and Binduri Districts – effective June 5, 2022.    is a zoonotic disease in herbivores caused by a bacterium called Bacillus anthracis. “It is a zoonosis (disease transmissible from animals to humans) that typically affects ruminants (such as cows, sheep, and goats),”   (WHO) has stated. According to the WHO, the bacteria produce potent toxins responsible for the symptoms, causing a high lethality rate. Humans can catch the disease from infected animals or through contaminated animal products.   According to the  , there are four types of Anthrax. They include Cutaneous, Inhalation, Gastrointestinal and Injection anthrax.   is the most common form of anthrax infection, and it is also considered to be the least dangerous. Its   usually develops from 1 to 7 days after exposure. “When anthrax spores get into the skin, usually through a cut or scrape, a person can develop cutaneous anthrax. This can happen when a person handles infected animals or contaminated animal products like wool, hides, or hair.”  is considered to be the   form of anthrax. The infection usually develops within a week after exposure, but it can take up to 2 months. It occurs when a person breathes in anthrax spores. People who work in places such as wool mills, slaughterhouses, and tanneries may breathe in the spores when working with infected animals or contaminated animal products. However, “inhalation anthrax cannot be transmitted from  . It can only be contracted by directly inhaling anthrax spores,” the   The infection   from 1 to 7 days after exposure. This happens when a person eats raw or undercooked meat from an animal infected with anthrax.  This is another type of   recently identified in heroin-injecting drug users in northern Europe. The symptoms may be similar to those of cutaneous anthrax, but there may be an infection deep under the skin or in the muscle where the drug was injected.    usually does not typically spread from animal to animal or human to human. When anthrax spores are ingested, inhaled or enter the body through skin abrasions or cuts, they can germinate, multiply and produce toxins.               The  – a waste treatment process that involves burning at temperatures high enough to destroy contaminants.   © 2022 All rights reserved","June 7, 2023",False,FACTSHEET: Anthrax outbreak and what you need to know,https://ghanafact.com/2023/06/factsheet-anthrax-outbreak-and-what-you-need-to-know/
"There should be no sale, slaughtering and consumption of cattle, sheep, goats and dogs for the next one month across 5 districts and a municipality in the Eastern corridor of the Upper East region of Ghana effective June 6, 2023. This is according to the Regional Co-ordinating Council (RCC) following a confirmed outbreak of a zoonotic disease, Anthrax. “The Police have been instructed to apprehend or arrest any person or group of persons who flout (s) this directive,” a statement signed by the Chief Director of the RCC, Alhaji Abubakari Inusah warned.   A further ban has been placed on the movement of small ruminants (sheep, goats and pigs), cattle and dogs from the affected areas – Bawku Municipality, Bawku West, Pusiga, Garu, Tampane and Binduri Districts – effective June 5, 2023. Tests results conducted on two cattle from the Bansi community in the Binduri District and the Sapeliga Community in the Bawku West District have so far returned positive for Anthrax; 7 cattle and 23 sheep and goats have so far died in the affected communities.    is a zoonotic disease in herbivores caused by a bacterium called Bacillus anthracis. Humans acquire the infection directly or indirectly from infected animals or occupational exposure to infected or contaminated animal products.  is not generally regarded as contagious, although rare records of person-to-person transmission exist. Anthrax bacteria can survive in the environment for decades by forming spores. “Worldwide, the estimated incidence of human anthrax decreased from 20,000 – 100,000 cases per year in 1958 to 2,000 per year during the 1980s,” the   has said. In the   of human anthrax have been reported in Afghanistan, the Islamic Republic of Iran, Iraq, Morocco, Pakistan and Sudan.   Thirteen (13) suspected human anthrax cases including one (1) death have been reported from the Bansi community in the Binduri District, according to officials. Eleven (11) human samples have been sent to Pong-Tamale Veterinary Laboratory for testing and analysis Veterinary officers are to commence free anthrax vaccination of the following categories of animals (cattle, dogs, sheep and goats). “All owners of animals have been advised to make their animals available for free anthrax vaccination at their respective places of residence,” the RCC has advised.   © 2022 All rights reserved","June 6, 2023",False,Upper East Region: Anthrax outbreak causes ban on sale of cattle in some communities,https://ghanafact.com/2023/06/upper-east-region-anthrax-outbreak-causes-ban-on-sale-of-cattle-in-some-communities/
